Date,Equity,Cash,Return,Peak,Drawdown
2022-08-19,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-08-22,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-08-23,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-08-24,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-08-25,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-08-26,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-08-29,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-08-30,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-08-31,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-01,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-02,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-06,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-07,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-08,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-09,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-12,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-13,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-14,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-15,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-16,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-19,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-20,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-21,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-22,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-23,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-26,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-27,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-28,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-29,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-09-30,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-10-03,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-10-04,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-10-05,1109.8023105783295,937.6165459442414,0.006095688127584209,1159.5043062757286,-0.042864865122441385
2022-10-06,1114.845326502452,1114.845326502452,0.004544066881149833,1159.5043062757286,-0.03851557905525941
2022-10-07,1114.845326502452,1114.845326502452,0.0,1159.5043062757286,-0.03851557905525941
2022-10-10,1114.845326502452,1114.845326502452,0.0,1159.5043062757286,-0.03851557905525941
2022-10-11,1114.845326502452,1114.845326502452,0.0,1159.5043062757286,-0.03851557905525941
2022-10-12,1114.845326502452,1114.845326502452,0.0,1159.5043062757286,-0.03851557905525941
2022-10-13,1114.845326502452,1114.845326502452,0.0,1159.5043062757286,-0.03851557905525941
2022-10-14,1114.845326502452,1114.845326502452,0.0,1159.5043062757286,-0.03851557905525941
2022-10-17,1117.3696487311245,947.6185275270842,0.0022642802267394124,1159.5043062757286,-0.036338508892596176
2022-10-18,1117.5293720083168,947.6185275270842,0.0001429457810795398,1159.5043062757286,-0.036200757548053616
2022-10-19,1116.890478899547,947.6185275270842,-0.0005717014020149014,1159.5043062757286,-0.03675176292622425
2022-10-20,1116.9182568607978,947.6185275270842,2.487080136837072e-05,1159.5043062757286,-0.036727806170651606
2022-10-21,1121.213424119213,947.6185275270842,0.00384555201961434,1159.5043062757286,-0.03302349284023281
2022-10-24,1123.8766361541398,1123.8766361541398,0.0023752944601238557,1159.5043062757286,-0.030726638899706355
2022-10-25,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-10-26,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-10-27,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-10-28,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-10-31,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-11-01,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-11-02,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-11-03,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-11-04,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-11-07,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-11-08,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-11-09,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-11-10,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-11-11,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-11-14,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-11-15,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-11-16,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-11-17,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-11-18,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-11-21,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-11-22,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-11-23,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-11-25,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-11-28,1123.8766361541398,1123.8766361541398,0.0,1159.5043062757286,-0.030726638899706355
2022-11-29,1122.4157678635438,955.2951407310188,-0.0012998475487443484,1159.5043062757286,-0.03198654650219573
2022-11-30,1128.7969217162163,955.2951407310188,0.005685196195005959,1159.5043062757286,-0.02648320009965547
2022-12-01,1125.1920939435886,955.2951407310188,-0.0031935131140745643,1159.5043062757286,-0.02959213876690908
2022-12-02,1125.4795333063214,955.2951407310188,0.00025545803625881547,1159.5043062757286,-0.029344240280308326
2022-12-05,1125.2157654205193,955.2951407310188,-0.00023436044636648834,1159.5043062757286,-0.029571723597424465
2022-12-06,1126.680015350677,955.2951407310188,0.0013013059140798422,1159.5043062757286,-0.028308899542151468
2022-12-07,1127.7858114873086,955.2951407310188,0.0009814642325820522,1159.5043062757286,-0.027355219481933847
2022-12-08,1129.2940227317663,955.2951407310188,0.001337320641114248,1159.5043062757286,-0.026054481540475054
2022-12-09,1126.585329442953,955.2951407310188,-0.002398572235652985,1159.5043062757286,-0.028390560220090705
2022-12-12,1128.6582744941923,955.2951407310188,0.0018400248938659214,1159.5043062757286,-0.026602774663780502
2022-12-13,1126.453445500052,955.2951407310188,-0.0019534956186169072,1159.5043062757286,-0.028504301878648677
2022-12-14,1126.2911268010969,955.2951407310188,-0.0001440971214600184,1159.5043062757286,-0.028644291612258718
2022-12-15,1122.966975112079,955.2951407310188,-0.0029514142568620727,1159.5043062757286,-0.03151116469847863
2022-12-16,1121.7090051951768,955.2951407310188,-0.0011202198682437325,1159.5043062757286,-0.0325960851339556
2022-12-19,1121.5703579731528,1121.5703579731528,-0.00012360355616458651,1159.5043062757286,-0.032715659698080636
2022-12-20,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2022-12-21,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2022-12-22,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2022-12-23,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2022-12-27,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2022-12-28,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2022-12-29,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2022-12-30,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-01-03,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-01-04,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-01-05,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-01-06,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-01-09,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-01-10,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-01-11,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-01-12,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-01-13,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
